Nom,URL fiche,Adresse,Téléphone,Site Web,Image,Catégorie,Fichier image
Casa Tua,https://www.menton-riviera-merveilles.fr/offres/restaurant-casa-tua-menton-fr-4203292/,"21 quai de Monléon, 06500 Menton",09 84 46 39 17,,,Cuisine Italienne,images/Casa_Tua.jpg
Pizzeria Pizza Express,https://www.menton-riviera-merveilles.fr/offres/pizzeria-pizza-express-menton-fr-3100216/,"13 rue Guyau, 06500 Menton",04 93 28 49 81,https://pizza-express-menton.fr/3193/accueil,,Pizzeria,images/Pizzeria_Pizza_Express.jpg
Hôtel restaurant Les  3 Vallées,https://www.menton-riviera-merveilles.fr/offres/hotel-restaurant-les-3-vallees-moulinet-fr-4787402/,"Col de Turini, 06380 Moulinet",04 93 04 23 23,,,Cuisine méditerranéenne,images/Hôtel_restaurant_Les__3_Vallées.jpg
Le Petit Prince,https://www.menton-riviera-merveilles.fr/offres/restaurant-le-petit-prince-menton-fr-3051502/,"69 promenade du Soleil, 06500 Menton",04 22 17 10 35,https://www.lepetitprince-menton.fr,,Cuisine méditerranéenne,images/Le_Petit_Prince.jpg
Le Taj,https://www.menton-riviera-merveilles.fr/offres/restaurant-le-taj-menton-fr-3051538/,"19 quai Monléon, 06500 Menton",04 93 17 41 91,https://www.restaurantindienletaj.com/,,Cuisine asiatique,images/Le_Taj.jpg
Pizzeria Côté Bistrot,https://www.menton-riviera-merveilles.fr/offres/pizzeria-cote-bistrot-roquebrune-cap-martin-fr-3051632/,"12 avenue Raymond Poincaré, 06190 Roquebrune-Cap-Martin",09 77 91 79 74,,,Pizzeria,images/Pizzeria_Côté_Bistrot.jpg
Les Parasols,https://www.menton-riviera-merveilles.fr/offres/restaurant-les-parasols-menton-fr-3051152/,"994 promenade su Soleil, 06500 Menton",09 66 80 50 28,,,Brasserie,images/Les_Parasols.jpg
Le Tagliatelle,https://www.menton-riviera-merveilles.fr/offres/restaurant-le-tagliatelle-menton-fr-3051566/,"1684 promenade du soleil, 06500 Menton",04 93 52 80 95,,,Cuisine Italienne,images/Le_Tagliatelle.jpg
Coffee Shop Edwige Coffee,https://www.menton-riviera-merveilles.fr/offres/coffee-shop-edwige-coffee-menton-fr-3051528/,"3 rue Palmaro, 06500 Menton",04 93 57 79 62,,,Cuisine indienne,images/Coffee_Shop_Edwige_Coffee.jpg
Le Flavie,https://www.menton-riviera-merveilles.fr/offres/restaurant-le-flavie-breil-sur-roya-fr-3877722/,"17 boulevard Jean Jaurès, 06540 Breil-sur-Roya",,,,Brasserie,images/Le_Flavie.jpg
Pizzeria Fleur de Mozza,https://www.menton-riviera-merveilles.fr/offres/pizzeria-fleur-de-mozza-menton-fr-5058643/,"Terre-plein du nouveau port, 27 Nouveau Port, 06500 Menton",04 97 07 95 90,,,Pizzeria,images/Pizzeria_Fleur_de_Mozza.jpg
